name, #cloc lines, #code blocks, #blocks inferred as consts, #load memory blocks, #blocks - #const, #const %, #Unique variants, # Variants
./Continued_fraction,49, 18,13, 12, 5,72%,2,17262
./Strip_a_set_of_characters_from_a_string,23, 12,7, 6, 5,58%,3,701
./Quine,7, 46,23, 23, 23,50%,2,3
./Totient_function,38, 74,44, 42, 30,59%,2,4
./Averages-Arithmetic_mean,21, 20,13, 13, 7,65%,2,3
./Fivenum,63, 62,38, 32, 24,61%,11,59
./Damm_algorithm,27, 15,9, 8, 6,60%,2,3
./Evaluate_binomial_coefficients,38, 84,57, 52, 27,67%,2,3
./Terminal_control-Coloured_text,27, 16,10, 10, 6,62%,2,3
./Factors_of_a_Mersenne_number,23, 74,38, 37, 36,51%,2,3
./Random_numbers,21, 6,4, 3, 2,66%,3,164
./Fast_Fourier_transform,40, 53,39, 34, 14,73%,7,6041
./Kahan_summation,33, 7,5, 4, 2,71%,6,3858
./Generate_lower_case_ASCII_alphabet,9, 8,4, 4, 4,50%,2,3
./Chinese_remainder_theorem,31, 60,42, 40, 18,70%,2,3
./Record_sound,27, 12,10, 8, 2,83%,2,3
./Loops-Increment_loop_index_within_loop_body,27, 45,23, 22, 22,51%,2,3
./Square_but_not_cube,17, 20,13, 12, 7,65%,2,94
./100_doors,12, 28,14, 14, 14,50%,7,24
./Determinant_and_permanent,61, 95,71, 66, 24,74%,2,3
./Elementary_cellular_automaton-Random_Number_Generator,26, 44,17, 17, 27,38%,2,3
./Forward_difference,29, 35,21, 21, 14,60%,2,13
./Almost_prime,23, 44,25, 23, 19,56%,3,5475
./Sorting_algorithms-Cocktail_sort,34, 45,31, 31, 14,68%,2,3
./Unbias_a_random_generator,27, 40,27, 22, 13,67%,2,3
./Ethiopian_multiplication,27, 29,19, 17, 10,65%,8,69
./Calculating_the_value_of_e,16, 7,4, 3, 3,57%,2,3
./Dot_product,21, 14,10, 9, 4,71%,2,3
./Permutation_test,23, 57,37, 33, 20,64%,4,802
./Zeckendorf_number_representation,46, 53,28, 27, 25,52%,2,22
./Problem_of_Apollonius,78, 89,65, 43, 24,73%,2,3
./Box_the_compass,49, 13,7, 6, 6,53%,2,3
./Symmetric_difference,41, 48,32, 29, 16,66%,4,167
./Pangram_checker,18, 26,11, 10, 15,42%,10,10625
./Date_manipulation,14, 3,2, 1, 1,66%,2,3
./Top_rank_per_group,48, 32,20, 18, 12,62%,2,3
./First-class_functions,52, 9,6, 6, 3,66%,27,16382
./Sort_an_integer_array,15, 13,9, 9, 4,69%,2,3
./Sum_digits_of_an_integer,16, 20,12, 7, 8,60%,2,3
./Evolutionary_algorithm,50, 79,49, 44, 30,62%,2,3
./Floyds_triangle,46, 38,20, 20, 18,52%,2,3
./Hash_from_two_arrays,97, 59,33, 25, 26,55%,4,13583
./Non-decimal_radices-Convert,37, 46,27, 26, 19,58%,2,3
./Kolakoski_sequence,80, 91,66, 64, 25,72%,2,3
./Set_of_real_numbers,144, 58,41, 14, 17,70%,3,1680
./String_length,7, 1,1, 0, 0,100%,2,3
./Chinese_zodiac,27, 22,13, 12, 9,59%,2,3
./Non-decimal_radices-Output,8, 7,5, 5, 2,71%,17,4416
./Sorting_algorithms-Bead_sort,35, 97,62, 61, 35,63%,2,3
./Multifactorial,23, 39,26, 24, 13,66%,2,90
./Host_introspection,12, 2,1, 1, 1,50%,2,3
./Dinesmans_multiple-dwelling_problem,65, 72,39, 36, 33,54%,3,362
./Search_a_list,36, 26,18, 11, 8,69%,2,3
./Averages-Pythagorean_means,19, 11,8, 8, 3,72%,3,168
./Ternary_logic,50, 20,14, 14, 6,70%,8,10
./Pernicious_numbers,21, 28,16, 14, 12,57%,2,1007
./Caesar_cipher,32, 47,26, 21, 21,55%,34,11599
./Null_object,9, 1,0, 0, 1,0%,2,3
./Named_parameters,25, 9,9, 9, 0,100%,2,4
./Reverse_a_string,59, 61,37, 33, 24,60%,7,3082
./Sorting_algorithms-Shell_sort,24, 56,39, 38, 17,69%,2,3
./Yin_and_yang,28, 2,2, 2, 0,100%,2,3
./Set,36, 83,41, 41, 42,49%,9,1022
./Chebyshev_coefficients,50, 35,24, 24, 11,68%,2,3
./Increment_a_numerical_string,50, 91,45, 41, 46,49%,2,22
./Maximum_triangle_path_sum,40, 40,24, 22, 16,60%,2,4
./Cantor_set,32, 55,33, 33, 22,60%,2,3
./Validate_International_Securities_Identification_Number,37, 79,42, 40, 37,53%,142,11649
./Middle_three_digits,28, 27,15, 14, 12,55%,8,279
./99_Bottles_of_Beer,18, 8,5, 5, 3,62%,40,12227
./Accumulator_factory,16, 9,7, 4, 2,77%,2,4
./Array_length,8, 1,1, 1, 0,100%,2,3
./Stack,52, 54,30, 29, 24,55%,2,4
./Draw_a_cuboid,117, 59,35, 18, 24,59%,2,1157
./Babbage_problem,15, 24,13, 11, 11,54%,5,62
./Van_Eck_sequence,20, 32,20, 20, 12,62%,2,4
./String_append,17, 8,5, 1, 3,62%,2,3
./Sorting_algorithms-Merge_sort,35, 77,54, 51, 23,70%,2,3
./Terminal_control-Preserve_screen,15, 5,3, 3, 2,60%,19,3004
./Nth_root,31, 20,14, 9, 6,70%,60,18709
./Power_set,27, 9,4, 4, 5,44%,11,182
./Numerical_integration-Gauss-Legendre_Quadrature,70, 71,44, 43, 27,61%,190,15507
./Modular_arithmetic,41, 22,16, 16, 6,72%,2,3
./Emirp_primes,45, 73,40, 34, 33,54%,5,384
./Man_or_boy_test,31, 16,10, 3, 6,62%,2,3
./Longest_Common_Substring,34, 55,30, 27, 25,54%,4,6
./Sorting_algorithms-Permutation_sort,35, 41,24, 21, 17,58%,2,3
./McNuggets_Problem,29, 51,25, 25, 26,49%,2,4
./AKS_test_for_primes,39, 65,38, 36, 27,58%,20,15971
./Range_extraction,31, 48,26, 20, 22,54%,83,17421
./Law_of_cosines_-_triples,28, 39,22, 22, 17,56%,2,283
./Binary_search,43, 65,47, 43, 18,72%,6,144
./Deepcopy,36, 5,5, 5, 0,100%,2,3
./Numeric_separator_syntax,9, 1,1, 1, 0,100%,2,3
./Hofstadter_Figure-Figure_sequences,64, 83,53, 46, 30,63%,2,4
./Factors_of_an_integer,62, 76,47, 47, 29,61%,3,1956
./Sum_of_a_series,14, 7,5, 5, 2,71%,8,10
./Sum_of_squares,15, 7,5, 5, 2,71%,2,162
./Two_Sum,17, 21,13, 13, 8,61%,7,9
./Idiomatically_determine_all_the_lowercase_and_uppercase_letters,8, 14,6, 6, 8,42%,99,12901
./Nth,44, 32,16, 16, 16,50%,2,3
./Strip_control_codes_and_extended_characters_from_a_string,71, 78,47, 43, 31,60%,2,3
./Integer_roots,28, 56,40, 34, 16,71%,2,3
./Filter,31, 46,28, 27, 18,60%,36,46633
./Multisplit,21, 22,14, 10, 8,63%,3,3921
./Dice_game_probabilities,45, 82,56, 53, 26,68%,2,3
./ABC_Problem,32, 37,23, 19, 14,62%,2,11
./Matrix_transposition,22, 31,19, 19, 12,61%,2,3
./Binary_digits,24, 53,28, 26, 25,52%,157,9642
./Pascals_triangle,19, 28,15, 15, 13,53%,2,31
./Old_lady_swallowed_a_fly,34, 20,13, 12, 7,65%,15,30315
./Old_Russian_measure_of_length,30, 31,19, 18, 12,61%,25,32758
./Loops-N_plus_one_half,10, 7,4, 4, 3,57%,76,23150
./Substring-Top_and_tail,19, 10,5, 0, 5,50%,2,64
./Negative_base_numbers,79, 72,43, 42, 29,59%,3,5
./Thue-Morse,16, 4,2, 2, 2,50%,17,4102
./Mutual_recursion,23, 30,18, 12, 12,60%,2,3
./Balanced_brackets,38, 53,29, 27, 24,54%,2,3
./Sorting_algorithms-Quicksort,32, 53,38, 38, 15,71%,4,6
./Cholesky_decomposition,44, 72,44, 44, 28,61%,2,3
./Averages-Mean_angle,25, 9,7, 7, 2,77%,3,5
./Harshad_or_Niven_series,18, 26,14, 12, 12,53%,2,43
./Map_range,15, 6,4, 4, 2,66%,19,4095
./Jaro_distance,53, 85,53, 48, 32,62%,2,3
./Sequence_of_non-squares,17, 18,13, 8, 5,72%,2,83
./Truncatable_primes,37, 62,36, 34, 26,58%,13,233
./Perfect_shuffle,81, 75,45, 41, 30,60%,4,6
./Thieles_interpolation_formula,44, 61,41, 40, 20,67%,2,3
./Permutations_by_swapping,53, 64,39, 38, 25,60%,7,200
./Determine_if_two_triangles_overlap,109, 67,42, 25, 25,62%,2,4
./Towers_of_Hanoi,16, 16,13, 13, 3,81%,3,5
./Averages-Root_mean_square,16, 8,6, 6, 2,75%,8,10298
./Long_multiplication,41, 88,43, 39, 45,48%,2,3
./One-dimensional_cellular_automata,21, 41,18, 17, 23,43%,2,402
./Reverse_words_in_a_string,32, 37,18, 12, 19,48%,7,3601
./Quickselect_algorithm,28, 58,42, 39, 16,72%,8,205
./Strip_whitespace_from_a_string-Top_and_tail,39, 36,14, 8, 22,38%,12,10325
./Sorting_algorithms-Cycle_sort,73, 81,58, 57, 23,71%,3,63
./Catamorphism,20, 23,18, 14, 5,78%,2,3
./Short-circuit_evaluation,26, 30,14, 6, 16,46%,2,3
./Greatest_subsequential_sum,41, 40,28, 28, 12,70%,14,1930
./Comma_quibbling,46, 68,37, 35, 31,54%,11,22
./Attractive_numbers,46, 72,39, 35, 33,54%,2,3
./Digital_root,21, 46,24, 23, 22,52%,2,3
./General_FizzBuzz,40, 22,14, 14, 8,63%,2,4
./Parametric_polymorphism,40, 24,13, 8, 11,54%,2,4
./Leap_year,13, 24,12, 11, 12,50%,2,3
./Find_the_missing_permutation,22, 40,23, 22, 17,57%,15,27405
./Print_debugging_statement,14, 9,7, 7, 2,77%,2,3
./Phrase_reversals,50, 61,39, 34, 22,63%,2,3
./Equilibrium_index,30, 42,28, 27, 14,66%,2,3
./Loop_over_multiple_arrays_simultaneously,9, 13,9, 9, 4,69%,15,17518
./Formal_power_series,109, 59,41, 40, 18,69%,2,3
./Substring,30, 19,14, 11, 5,73%,4,10
./Knuth_shuffle,35, 56,35, 29, 21,62%,2,3
./Count_occurrences_of_a_substring,18, 12,9, 5, 3,75%,2,3
./Non-decimal_radices-Input,12, 3,3, 3, 0,100%,2,3
./Price_fraction,23, 13,10, 8, 3,76%,27,18848
./Permutations-Rank_of_a_permutation,50, 98,70, 67, 28,71%,2,3
./Roots_of_unity,20, 34,20, 16, 14,58%,6,8
./Four_bit_adder,53, 54,21, 21, 33,38%,3,5
./Base64_decode_data,64, 86,42, 37, 44,48%,218,9357
./N-queens_problem,32, 49,28, 27, 21,57%,2,3
./Inverted_index,119, 67,39, 37, 28,58%,2,7688
./Unicode_strings,21, 2,1, 1, 1,50%,2,3
./Bell_numbers,46, 73,50, 42, 23,68%,2,3
./Sierpinski_triangle,12, 19,10, 10, 9,52%,44,14705
./Ray-casting_algorithm,96, 69,50, 26, 19,72%,15,3078
./Roman_numerals-Decode,31, 48,23, 21, 25,47%,8,1459
./Sorting_algorithms-Bubble_sort,27, 48,32, 32, 16,66%,2,443
./Sorting_algorithms-Bogosort,32, 36,26, 24, 10,72%,2,3
./Euler_method,36, 13,9, 7, 4,69%,2,3
./Exceptions-Catch_an_exception_thrown_in_a_nested_call,98, 49,26, 19, 23,53%,2,3
./Unicode_variable_names,7, 3,2, 2, 1,66%,2,3
./ISBN13_check_digit,28, 46,22, 21, 24,47%,25,17083
./The_Name_Game,32, 35,19, 16, 16,54%,2,3763
./Modular_inverse,18, 28,20, 19, 8,71%,2,157
./Range_expansion,57, 53,28, 19, 25,52%,2,3
./Set_consolidation,30, 47,29, 28, 18,61%,7,112
./Exponentiation_operator,38, 46,24, 22, 22,52%,2,3
./Non-continuous_subsequences,21, 67,37, 35, 30,55%,3,5
./Sum_multiples_of_3_and_5,20, 20,12, 10, 8,60%,4,6
./Circles_of_given_radius_through_two_points,50, 22,16, 6, 6,72%,6,4165
./Show_Ascii_table,17, 13,8, 8, 5,61%,5,7
./Roman_numerals-Encode,45, 60,31, 31, 29,51%,2,3
./Josephus_problem,32, 69,43, 41, 26,62%,2,3
./String_matching,27, 28,19, 10, 9,67%,2,3
./Convert_decimal_number_to_rational,50, 86,56, 51, 30,65%,2,3
./Department_Numbers,17, 30,18, 18, 12,60%,8,29
./Horners_rule_for_polynomial_evaluation,17, 7,4, 4, 3,57%,4,225
./Lucas-Lehmer_test,40, 55,32, 28, 23,58%,3,5
./Variable-length_quantity,34, 93,41, 40, 52,44%,4,23
./Y_combinator,55, 30,19, 19, 11,63%,2,3
./Split_a_character_string_based_on_change_of_character,24, 13,8, 6, 5,61%,3,2001
./Loops-Wrong_ranges,38, 23,16, 15, 7,69%,4,25
./Diversity_prediction_theorem,51, 39,24, 24, 15,61%,2,3
./Day_of_the_week,18, 37,16, 15, 21,43%,2,3
./Fibonacci_n-step_number_sequences,32, 48,35, 35, 13,72%,2,3
./Sort_disjoint_sublist,26, 66,50, 50, 16,75%,2,3
./Runge-Kutta_method,31, 21,14, 13, 7,66%,87,12666
./Determine_if_a_string_has_all_the_same_characters,25, 36,22, 19, 14,61%,3,376
./Digital_root-Multiplicative_digital_root,46, 61,36, 36, 25,59%,2,21
./Repeat,12, 3,1, 1, 2,33%,2,3
./Terminal_control-Unicode_output,22, 37,16, 16, 21,43%,74,54519
./Roots_of_a_function,54, 22,14, 6, 8,63%,18,12850
./Feigenbaum_constant_calculation,27, 17,10, 10, 7,58%,2,3
./Inverted_syntax,12, 12,6, 4, 6,50%,2,3
./Sequence:_smallest_number_with_exactly_n_divisors,29, 49,29, 28, 20,59%,2,3
./Anti-primes,24, 29,18, 17, 11,62%,4,604
./Tokenize_a_string,16, 14,9, 8, 5,64%,2,122
./Convex_hull,127, 66,36, 34, 30,54%,2,3
./Eulers_identity,13, 2,2, 2, 0,100%,2,3
./Find_the_intersection_of_two_lines,72, 94,58, 51, 36,61%,2,4
./Levenshtein_distance-Alignment,77, 90,52, 50, 38,57%,2,3
./Currying,23, 19,13, 8, 6,68%,2,3
./Luhn_test_of_credit_card_numbers,26, 32,17, 14, 15,53%,2,3
./Hamming_numbers,42, 80,53, 50, 27,66%,9,50
./Pascals_triangle-Puzzle,24, 26,18, 16, 8,69%,2,3
./Deal_cards_for_FreeCell,37, 55,30, 28, 25,54%,2,4
./Ramseys_theorem,49, 88,57, 54, 31,64%,2,812
./Sort_numbers_lexicographically,48, 66,45, 41, 21,68%,2,342
./Rep-string,28, 24,16, 14, 8,66%,3,5
./Extract_file_extension,37, 23,13, 9, 10,56%,2,738
./Multiplication_tables,13, 35,22, 22, 13,62%,75,11789
./Paraffins,43, 95,57, 56, 38,60%,2,23
./Iterated_digits_squaring,36, 63,37, 36, 26,58%,2,3
./Copy_a_string,32, 6,3, 2, 3,50%,6,4054
./Egyptian_division,35, 57,37, 36, 20,64%,2,3
./Longest_increasing_subsequence,34, 40,28, 28, 12,70%,2,4
./Sorting_Algorithms-Circle_Sort,24, 46,29, 20, 17,63%,2,3
./Sequence:_smallest_number_greater_than_previous_term_with_exactly_n_divisors,26, 32,19, 18, 13,59%,2,202
./Jewels_and_Stones,12, 10,6, 4, 4,60%,2,4120
./Sort_using_a_custom_comparator,18, 10,8, 5, 2,80%,2,23
./The_Twelve_Days_of_Christmas,44, 36,20, 18, 16,55%,2,3
./Averages-Mode,39, 63,40, 34, 23,63%,2,4
